"woj","o_l","o_z","o_z_wsk","l_0_4","z_0_4","l_5_14","z_5_14","l_15_64","z_15_64","l_65","z_65","dni","miesiac","rok","tydz","numer"
"Kujawsko-Pomorskie",6666,41.42,-19.77,1405,190.05,1783,103.2,2870,27.25,608,19.65,"8-15","kwiecień","2023","14","4B"
"Lubelskie",6527,40.18,-2.02,1331,180.41,1722,100.96,2970,28.17,504,15.48,"8-15","kwiecień","2023","14","4B"
"Lubuskie",2418,30.76,-13.71,579,166.54,689,81.01,977,18.98,173,11.42,"8-15","kwiecień","2023","14","4B"
"Łódzkie",4011,21.02,-17.4,768,91.27,1019,53.03,1724,14.1,500,12.2,"8-15","kwiecień","2023","14","4B"
"Małopolskie",9615,35.05,-31.85,2227,154.75,2216,72.7,4409,24.35,763,15.77,"8-15","kwiecień","2023","14","4B"
"Mazowieckie",19694,44.67,-29.87,4041,175.54,4412,89.2,9530,33.24,1711,20.93,"8-15","kwiecień","2023","14","4B"
"Opolskie",1175,15.54,-7.99,229,70.75,255,34.89,579,11.58,112,7.44,"8-15","kwiecień","2023","14","4B"
"Podkarpackie",2686,16.13,-5.92,485,59.56,607,33.59,1295,11.75,299,9.93,"8-15","kwiecień","2023","14","4B"
"Podlaskie",2502,27.29,-24.79,438,99.39,599,62.24,1214,20.14,251,14.46,"8-15","kwiecień","2023","14","4B"
"Pomorskie",18339,97.2,-45.09,4052,406.94,4405,203.94,8219,66.56,1663,49.44,"8-15","kwiecień","2023","14","4B"
"Śląskie",15615,44.77,-17.43,3540,229.77,3835,106.91,6823,30.12,1417,19.97,"8-15","kwiecień","2023","14","4B"
"Świętokrzyskie",2450,25.91,-29.28,523,132.96,684,72.68,1036,16.99,207,10.22,"8-15","kwiecień","2023","14","4B"
"Warmińsko-Mazurskie",2994,27.32,-10.69,483,97.83,895,75.42,1275,17.56,341,16.89,"8-15","kwiecień","2023","14","4B"
"Wielkopolskie",18178,64.99,-37.84,3909,270.7,4278,134.59,8322,45.35,1669,33.41,"8-15","kwiecień","2023","14","4B"
"Zachodniopomorskie",2746,20.87,-16.15,421,74.96,687,51.1,1321,15.38,317,11.9,"8-15","kwiecień","2023","14","4B"
"Dolnośląskie",5794,28.62,4.17,1058,115.59,1104,53.88,2877,21.77,755,18.58,"16-22","kwiecień","2023","15","4C"
"Kujawsko-Pomorskie",6466,45.92,4.5,1466,226.63,1507,99.68,2877,31.22,616,22.75,"16-22","kwiecień","2023","15","4C"
"Lubelskie",4243,29.85,-10.33,809,125.32,982,65.8,1972,21.37,480,16.85,"16-22","kwiecień","2023","15","4C"
"Lubuskie",2113,30.72,-0.05,473,155.49,590,79.28,867,19.25,183,13.81,"16-22","kwiecień","2023","15","4C"
"Łódzkie",5176,31,9.98,1126,152.94,1221,72.62,2117,19.79,712,19.86,"16-22","kwiecień","2023","15","4C"
"Małopolskie",10900,45.41,10.36,2561,203.38,2312,86.68,5041,31.82,986,23.29,"16-22","kwiecień","2023","15","4C"
"Mazowieckie",21767,56.42,11.75,4714,234.03,4834,111.69,10194,40.64,2025,28.3,"16-22","kwiecień","2023","15","4C"
"Opolskie",1234,18.65,3.11,294,103.81,304,47.54,507,11.59,129,9.79,"16-22","kwiecień","2023","15","4C"
"Podkarpackie",2470,16.95,0.82,508,71.3,573,36.24,1088,11.28,301,11.42,"16-22","kwiecień","2023","15","4C"
"Podlaskie",2114,26.36,-0.94,422,109.44,503,59.73,929,17.61,260,17.12,"16-22","kwiecień","2023","15","4C"
"Pomorskie",17795,107.79,10.59,3909,448.67,3962,209.63,8134,75.28,1790,60.82,"16-22","kwiecień","2023","15","4C"
"Śląskie",14047,46.03,1.26,3134,232.48,3075,97.97,6319,31.88,1519,24.47,"16-22","kwiecień","2023","15","4C"
"Świętokrzyskie",3252,39.3,13.39,678,196.98,834,101.28,1421,26.64,319,17.99,"16-22","kwiecień","2023","15","4C"
"Warmińsko-Mazurskie",2190,22.84,-4.48,336,77.78,566,54.51,993,15.63,295,16.7,"16-22","kwiecień","2023","15","4C"
"Wielkopolskie",17430,71.22,6.23,3619,286.43,3869,139.11,8273,51.52,1669,38.18,"16-22","kwiecień","2023","15","4C"
"Zachodniopomorskie",2626,22.8,1.94,507,103.17,683,58.06,1170,15.57,266,11.41,"16-22","kwiecień","2023","15","4C"
"Dolnośląskie",7462,32.25,3.63,1240,118.54,1346,57.48,4211,27.88,665,14.32,"23-30","kwiecień","2023","16","4D"
"Kujawsko-Pomorskie",6211,38.59,-7.32,1464,198.03,1694,98.05,2485,23.6,568,18.35,"23-30","kwiecień","2023","16","4D"
"Lubelskie",3668,22.58,-7.27,878,119.01,931,54.59,1530,14.51,329,10.1,"23-30","kwiecień","2023","16","4D"
"Lubuskie",1510,19.21,-11.51,431,123.97,437,51.38,536,10.41,106,7,"23-30","kwiecień","2023","16","4D"
"Łódzkie",4171,21.85,-9.14,911,108.27,1044,54.33,1523,12.46,693,16.91,"23-30","kwiecień","2023","16","4D"
"Małopolskie",9092,33.14,-12.27,2189,152.11,1995,65.45,4091,22.59,817,16.89,"23-30","kwiecień","2023","16","4D"
"Mazowieckie",14042,31.85,-24.57,3109,135.06,3375,68.23,6288,21.93,1270,15.53,"23-30","kwiecień","2023","16","4D"
"Opolskie",792,10.47,-8.18,186,57.46,205,28.05,303,6.06,98,6.51,"23-30","kwiecień","2023","16","4D"
"Podkarpackie",1693,10.17,-6.78,334,41.02,400,22.13,727,6.6,232,7.7,"23-30","kwiecień","2023","16","4D"
"Podlaskie",2248,24.52,-1.83,476,108.01,565,58.71,988,16.39,219,12.62,"23-30","kwiecień","2023","16","4D"
"Pomorskie",13862,73.47,-34.32,3211,322.48,3385,156.72,5883,47.64,1383,41.12,"23-30","kwiecień","2023","16","4D"
"Śląskie",14105,40.44,-5.59,3114,202.12,3341,93.13,6211,27.41,1439,20.28,"23-30","kwiecień","2023","16","4D"
"Świętokrzyskie",2223,23.51,-15.79,501,127.36,593,63.01,860,14.11,269,13.28,"23-30","kwiecień","2023","16","4D"
"Warmińsko-Mazurskie",2173,19.83,-3.01,447,90.54,647,54.52,849,11.69,230,11.39,"23-30","kwiecień","2023","16","4D"
"Wielkopolskie",17785,63.58,-7.63,4281,296.47,4270,134.34,7610,41.47,1624,32.51,"23-30","kwiecień","2023","16","4D"
"Zachodniopomorskie",1342,10.2,-12.61,237,42.2,292,21.72,626,7.29,187,7.02,"23-30","kwiecień","2023","16","4D"
"Dolnośląskie",3124,15.45,-16.84,666,74.68,689,33.53,1444,10.98,325,7.89,"1-7","maj","2023","17","5A"
"Kujawsko-Pomorskie",3533,25.15,-13.54,947,151.65,999,66.11,1247,13.61,340,12.37,"1-7","maj","2023","17","5A"
"Lubelskie",2891,20.4,-2.25,730,117.15,632,42.4,1220,13.3,309,10.7,"1-7","maj","2023","17","5A"
"Lubuskie",1525,22.23,2.97,400,137.38,473,63.73,536,11.97,116,8.61,"1-7","maj","2023","17","5A"
"Łódzkie",2672,16.05,-5.87,629,87.89,680,40.43,1047,9.85,316,8.72,"1-7","maj","2023","17","5A"
"Małopolskie",6696,27.9,-5.25,1744,141.86,1568,58.49,2757,17.44,627,14.63,"1-7","maj","2023","17","5A"
"Mazowieckie",18679,48.42,16.57,4721,240.26,4363,100.35,7769,31.05,1826,25.22,"1-7","maj","2023","17","5A"
"Opolskie",1147,17.39,6.88,279,101.64,288,44.91,459,10.56,121,9.07,"1-7","maj","2023","17","5A"
"Podkarpackie",1034,7.1,-3.07,242,35.12,246,15.51,434,4.52,112,4.19,"1-7","maj","2023","17","5A"
"Podlaskie",1589,19.85,-4.72,409,109.85,426,50.39,614,11.71,140,9.09,"1-7","maj","2023","17","5A"
"Pomorskie",13523,81.92,8.44,2790,329.98,3321,174.99,4776,44.3,2636,88.34,"1-7","maj","2023","17","5A"
"Śląskie",9993,32.84,-7.72,2296,176.74,2366,75.22,4259,21.62,1072,17.06,"1-7","maj","2023","17","5A"
"Świętokrzyskie",1446,17.53,-6.05,263,79.04,341,41.55,642,12.12,200,11.13,"1-7","maj","2023","17","5A"
"Warmińsko-Mazurskie",1675,17.51,-2.37,352,84.96,520,50.15,653,10.34,150,8.34,"1-7","maj","2023","17","5A"
"Wielkopolskie",10578,43.25,-20.38,2529,206.58,2629,94.23,4385,27.4,1035,23.32,"1-7","maj","2023","17","5A"
"Zachodniopomorskie",1468,12.78,2.56,329,69.53,393,33.47,589,7.89,157,6.63,"1-7","maj","2023","17","5A"
"Dolnośląskie",4925,21.32,5.86,875,85.85,852,36.28,2769,18.42,429,9.12,"8-15","maj","2023","18","5B"
"Kujawsko-Pomorskie",5761,35.88,10.73,1446,202.62,1371,79.39,2379,22.71,565,17.99,"8-15","maj","2023","18","5B"
"Lubelskie",3622,22.36,1.96,871,122.31,841,49.36,1490,14.22,420,12.73,"8-15","maj","2023","18","5B"
"Lubuskie",1467,18.71,-3.52,344,103.38,417,49.16,606,11.84,100,6.49,"8-15","maj","2023","18","5B"
"Łódzkie",3053,16.04,0,665,81.31,693,36.05,1313,10.81,382,9.22,"8-15","maj","2023","18","5B"
"Małopolskie",9756,35.56,7.67,2451,174.45,2210,72.14,4263,23.6,832,16.98,"8-15","maj","2023","18","5B"
"Mazowieckie",19273,43.72,-4.71,4652,207.16,4372,87.99,8492,29.7,1757,21.23,"8-15","maj","2023","18","5B"
"Opolskie",1185,15.72,-1.67,299,95.31,279,38.07,489,9.84,118,7.74,"8-15","maj","2023","18","5B"
"Podkarpackie",1438,8.65,1.54,372,47.24,299,16.5,583,5.31,184,6.02,"8-15","maj","2023","18","5B"
"Podlaskie",1847,20.19,0.34,455,106.93,396,40.98,788,13.15,208,11.81,"8-15","maj","2023","18","5B"
"Pomorskie",16853,89.33,7.41,3971,410.95,3843,177.19,7340,59.57,1699,49.82,"8-15","maj","2023","18","5B"
"Śląskie",12953,37.25,4.41,2935,197.68,2853,79.37,5749,25.54,1416,19.71,"8-15","maj","2023","18","5B"
"Świętokrzyskie",3181,33.75,16.22,797,209.57,838,89.34,1190,19.66,356,17.34,"8-15","maj","2023","18","5B"
"Warmińsko-Mazurskie",2210,20.22,2.71,443,93.55,532,44.89,994,13.77,241,11.73,"8-15","maj","2023","18","5B"
"Wielkopolskie",18702,66.92,23.66,3897,278.54,3941,123.59,9264,50.66,1600,31.54,"8-15","maj","2023","18","5B"
"Zachodniopomorskie",1411,10.75,-2.03,279,51.59,341,25.41,610,7.15,181,6.69,"8-15","maj","2023","18","5B"
"Dolnośląskie",4194,20.75,-0.57,765,85.78,798,38.84,2132,16.21,499,12.12,"16-22","maj","2023","19","5C"
"Kujawsko-Pomorskie",5204,37.04,1.16,1187,190.09,1401,92.72,2119,23.12,497,18.08,"16-22","maj","2023","19","5C"
"Lubelskie",3318,23.41,1.05,732,117.47,810,54.34,1436,15.66,340,11.77,"16-22","maj","2023","19","5C"
"Lubuskie",1089,15.88,-2.84,289,99.26,330,44.46,402,8.98,68,5.05,"16-22","maj","2023","19","5C"
"Łódzkie",2891,17.36,1.32,767,107.17,754,44.83,1082,10.18,288,7.94,"16-22","maj","2023","19","5C"
"Małopolskie",7556,31.48,-4.08,1958,159.27,1609,60.02,3312,20.95,677,15.79,"16-22","maj","2023","19","5C"
"Mazowieckie",17857,46.29,2.57,4249,216.24,4073,93.68,7879,31.49,1656,22.87,"16-22","maj","2023","19","5C"
"Opolskie",872,13.22,-2.5,204,74.32,177,27.6,397,9.13,94,7.04,"16-22","maj","2023","19","5C"
"Podkarpackie",1040,7.15,-1.5,275,39.91,255,16.08,420,4.37,90,3.37,"16-22","maj","2023","19","5C"
"Podlaskie",1266,15.82,-4.37,259,69.56,283,33.47,562,10.72,162,10.51,"16-22","maj","2023","19","5C"
"Pomorskie",15415,93.38,4.05,3888,459.84,3461,182.37,6598,61.2,1468,49.2,"16-22","maj","2023","19","5C"
"Śląskie",9962,32.74,-4.51,2310,177.81,2190,69.63,4279,21.72,1183,18.82,"16-22","maj","2023","19","5C"
"Świętokrzyskie",1601,19.41,-14.34,369,110.89,357,43.5,682,12.87,193,10.74,"16-22","maj","2023","19","5C"
"Warmińsko-Mazurskie",2091,21.86,1.64,445,107.4,511,49.28,888,14.06,247,13.74,"16-22","maj","2023","19","5C"
"Wielkopolskie",12593,51.49,-15.42,3197,261.15,3046,109.17,5211,32.56,1139,25.66,"16-22","maj","2023","19","5C"
"Zachodniopomorskie",781,6.8,-3.95,157,33.18,200,17.03,318,4.26,106,4.48,"16-22","maj","2023","19","5C"
"Dolnośląskie",4568,17.57,-3.17,1013,88.34,800,30.28,2275,13.45,480,9.07,"23-31","maj","2023","20","5D"
"Kujawsko-Pomorskie",6487,35.92,-1.13,1638,204.02,1635,84.16,2585,21.94,629,17.8,"23-31","maj","2023","20","5D"
"Lubelskie",3428,18.81,-4.6,856,106.84,834,43.51,1444,12.25,294,7.92,"23-31","maj","2023","20","5D"
"Lubuskie",1601,18.15,2.28,520,138.91,455,47.68,538,9.34,88,5.08,"23-31","maj","2023","20","5D"
"Łódzkie",3261,15.23,-2.13,765,83.14,775,35.84,1305,9.55,416,8.92,"23-31","maj","2023","20","5D"
"Małopolskie",9118,29.55,-1.93,2360,149.31,2030,58.9,3887,19.13,841,15.26,"23-31","maj","2023","20","5D"
"Mazowieckie",19871,40.07,-6.23,4881,193.21,4314,77.18,9022,28.04,1654,17.77,"23-31","maj","2023","20","5D"
"Opolskie",992,11.7,-1.52,236,66.87,260,31.53,392,7.01,104,6.06,"23-31","maj","2023","20","5D"
"Podkarpackie",1532,8.19,1.04,415,46.85,396,19.42,551,4.46,170,4.95,"23-31","maj","2023","20","5D"
"Podlaskie",1697,16.49,0.67,408,85.23,433,39.83,686,10.17,170,8.58,"23-31","maj","2023","20","5D"
"Pomorskie",17860,84.15,-9.23,4720,434.19,4049,165.94,7393,53.34,1698,44.26,"23-31","maj","2023","20","5D"
"Śląskie",14285,36.52,3.77,3596,215.29,3153,77.97,6123,24.18,1413,17.49,"23-31","maj","2023","20","5D"
"Świętokrzyskie",2517,23.74,4.32,738,172.5,690,65.39,878,12.89,211,9.14,"23-31","maj","2023","20","5D"
"Warmińsko-Mazurskie",2274,18.49,-3.37,516,96.86,618,46.36,905,11.14,235,10.17,"23-31","maj","2023","20","5D"
"Wielkopolskie",17136,54.5,3.01,4013,254.96,3774,105.2,8018,38.97,1331,23.32,"23-31","maj","2023","20","5D"
"Zachodniopomorskie",1652,11.19,4.39,373,61.31,405,26.82,699,7.28,175,5.75,"23-31","maj","2023","20","5D"
"Dolnośląskie",3675,18.18,0.6,946,106.07,774,37.67,1571,11.95,384,9.32,"1-7","czerwiec","2023","21","6A"
"Kujawsko-Pomorskie",4622,32.9,-3.01,1226,196.33,1204,79.68,1693,18.47,499,18.16,"1-7","czerwiec","2023","21","6A"
"Lubelskie",4032,28.45,9.64,1117,179.26,1013,67.95,1460,15.92,442,15.31,"1-7","czerwiec","2023","21","6A"
"Lubuskie",927,13.51,-4.64,283,97.2,266,35.84,317,7.08,61,4.53,"1-7","czerwiec","2023","21","6A"
"Łódzkie",2060,12.37,-2.86,532,74.34,524,31.16,784,7.38,220,6.07,"1-7","czerwiec","2023","21","6A"
"Małopolskie",8838,36.82,7.27,2633,214.18,1983,73.97,3581,22.66,641,14.95,"1-7","czerwiec","2023","21","6A"
"Mazowieckie",16879,43.76,3.69,4628,235.53,3687,84.8,7339,29.33,1225,16.92,"1-7","czerwiec","2023","21","6A"
"Opolskie",1073,16.26,4.57,258,93.99,352,54.89,372,8.56,91,6.82,"1-7","czerwiec","2023","21","6A"
"Podkarpackie",941,6.47,-1.72,186,26.99,174,10.97,490,5.1,91,3.4,"1-7","czerwiec","2023","21","6A"
"Podlaskie",1480,18.49,2,359,96.42,374,44.23,607,11.57,140,9.09,"1-7","czerwiec","2023","21","6A"
"Pomorskie",13654,82.71,-1.44,3898,461.02,3205,168.88,5234,48.55,1317,44.14,"1-7","czerwiec","2023","21","6A"
"Śląskie",10682,35.11,-1.41,2585,198.98,2352,74.78,4615,23.43,1130,17.98,"1-7","czerwiec","2023","21","6A"
"Świętokrzyskie",2103,25.5,1.76,475,142.75,521,63.48,869,16.4,238,13.25,"1-7","czerwiec","2023","21","6A"
"Warmińsko-Mazurskie",1492,15.6,-2.89,342,82.54,390,37.61,575,9.1,185,10.29,"1-7","czerwiec","2023","21","6A"
"Wielkopolskie",12439,50.86,-3.64,2987,243.99,2927,104.91,5357,33.48,1168,26.31,"1-7","czerwiec","2023","21","6A"
"Zachodniopomorskie",876,7.63,-3.56,197,41.63,193,16.44,371,4.97,115,4.86,"1-7","czerwiec","2023","21","6A"
"Dolnośląskie",3200,13.85,-4.33,685,67.21,634,27,1539,10.24,342,7.27,"8-15","czerwiec","2023","22","6B"
"Kujawsko-Pomorskie",4733,29.48,-3.42,1113,155.96,1095,63.41,2017,19.26,508,16.17,"8-15","czerwiec","2023","22","6B"
"Lubelskie",2921,18.03,-10.42,695,97.59,681,39.97,1273,12.15,272,8.24,"8-15","czerwiec","2023","22","6B"
"Lubuskie",933,11.9,-1.61,236,70.92,239,28.18,388,7.58,70,4.54,"8-15","czerwiec","2023","22","6B"
"Łódzkie",2606,13.7,1.32,741,90.6,626,32.57,994,8.19,245,5.91,"8-15","czerwiec","2023","22","6B"
"Małopolskie",6284,22.91,-13.91,1581,112.53,1475,48.14,2630,14.56,598,12.21,"8-15","czerwiec","2023","22","6B"
"Mazowieckie",17586,39.89,-3.87,4404,196.11,3955,79.6,7763,27.15,1464,17.69,"8-15","czerwiec","2023","22","6B"
"Opolskie",1311,17.39,1.12,346,110.29,411,56.08,410,8.25,144,9.44,"8-15","czerwiec","2023","22","6B"
"Podkarpackie",698,4.2,-2.27,133,16.89,111,6.12,379,3.45,75,2.45,"8-15","czerwiec","2023","22","6B"
"Podlaskie",939,10.27,-8.23,266,62.51,227,23.49,374,6.24,72,4.09,"8-15","czerwiec","2023","22","6B"
"Pomorskie",15727,83.36,0.65,4152,429.68,3425,157.91,6573,53.35,1577,46.24,"8-15","czerwiec","2023","22","6B"
"Śląskie",9331,26.83,-8.27,2329,156.87,2043,56.83,4087,18.15,872,12.14,"8-15","czerwiec","2023","22","6B"
"Świętokrzyskie",1315,13.95,-11.55,367,96.5,340,36.25,473,7.81,135,6.58,"8-15","czerwiec","2023","22","6B"
"Warmińsko-Mazurskie",1744,15.95,0.36,427,90.17,477,40.25,667,9.24,173,8.42,"8-15","czerwiec","2023","22","6B"
"Wielkopolskie",11755,42.06,-8.81,2868,204.99,2827,88.66,5009,27.39,1051,20.72,"8-15","czerwiec","2023","22","6B"
"Zachodniopomorskie",1283,9.78,2.15,309,57.14,311,23.17,544,6.37,119,4.4,"8-15","czerwiec","2023","22","6B"
"Dolnośląskie",2785,13.78,-0.07,633,70.98,528,25.7,1238,9.41,386,9.37,"16-22","czerwiec","2023","23","6C"
"Kujawsko-Pomorskie",3813,27.14,-2.34,901,144.29,928,61.41,1611,17.58,373,13.57,"16-22","czerwiec","2023","23","6C"
"Lubelskie",2174,15.34,-2.69,545,87.46,493,33.07,905,9.87,231,8,"16-22","czerwiec","2023","23","6C"
"Lubuskie",703,10.25,-2.26,209,71.78,221,29.78,245,5.47,28,2.08,"16-22","czerwiec","2023","23","6C"
"Łódzkie",2445,14.69,0.99,625,87.33,564,33.53,943,8.87,313,8.63,"16-22","czerwiec","2023","23","6C"
"Małopolskie",6279,26.16,3.25,1615,131.37,1399,52.19,2706,17.12,559,13.04,"16-22","czerwiec","2023","23","6C"
"Mazowieckie",17383,45.06,5.17,4253,216.45,3619,83.24,8146,32.56,1365,18.85,"16-22","czerwiec","2023","23","6C"
"Opolskie",646,9.79,-7.6,126,45.9,141,21.99,294,6.76,85,6.37,"16-22","czerwiec","2023","23","6C"
"Podkarpackie",993,6.82,2.63,278,40.35,178,11.22,424,4.41,113,4.23,"16-22","czerwiec","2023","23","6C"
"Podlaskie",997,12.46,2.19,219,58.82,236,27.91,400,7.63,142,9.22,"16-22","czerwiec","2023","23","6C"
"Pomorskie",11108,67.29,-16.07,2991,353.75,2410,126.99,4544,42.15,1163,38.98,"16-22","czerwiec","2023","23","6C"
"Śląskie",8833,29.03,2.2,2032,156.41,1981,62.98,3859,19.59,961,15.29,"16-22","czerwiec","2023","23","6C"
"Świętokrzyskie",1830,22.19,8.24,477,143.35,491,59.82,734,13.86,128,7.13,"16-22","czerwiec","2023","23","6C"
"Warmińsko-Mazurskie",1463,15.3,-0.66,305,73.61,424,40.89,596,9.44,138,7.68,"16-22","czerwiec","2023","23","6C"
"Wielkopolskie",9524,38.94,-3.11,2347,191.72,2291,82.11,4090,25.56,796,17.93,"16-22","czerwiec","2023","23","6C"
"Zachodniopomorskie",932,8.12,-1.66,193,40.79,208,17.71,407,5.45,124,5.24,"16-22","czerwiec","2023","23","6C"
"Dolnośląskie",3263,14.12,0.35,625,61.32,539,22.95,1713,11.4,386,8.2,"23-30","czerwiec","2023","24","6D"
"Kujawsko-Pomorskie",4408,27.46,0.31,1161,162.68,1084,62.77,1766,16.86,397,12.64,"23-30","czerwiec","2023","24","6D"
"Lubelskie",2452,15.14,-0.2,628,88.18,620,36.39,952,9.08,252,7.64,"23-30","czerwiec","2023","24","6D"
"Lubuskie",1118,14.26,4.01,343,103.08,332,39.14,388,7.58,55,3.57,"23-30","czerwiec","2023","24","6D"
"Łódzkie",2099,11.03,-3.65,531,64.92,516,26.85,836,6.88,216,5.21,"23-30","czerwiec","2023","24","6D"
"Małopolskie",8203,29.9,3.74,2358,167.83,2041,66.62,3145,17.41,659,13.45,"23-30","czerwiec","2023","24","6D"
"Mazowieckie",12880,29.22,-15.85,3127,139.25,2772,55.79,5523,19.31,1458,17.62,"23-30","czerwiec","2023","24","6D"
"Opolskie",959,12.72,2.93,250,79.69,262,35.75,367,7.39,80,5.25,"23-30","czerwiec","2023","24","6D"
"Podkarpackie",1066,6.41,-0.41,290,36.83,211,11.64,447,4.07,118,3.86,"23-30","czerwiec","2023","24","6D"
"Podlaskie",1143,12.5,0.04,280,65.8,307,31.77,450,7.51,106,6.02,"23-30","czerwiec","2023","24","6D"
"Pomorskie",12582,66.69,-0.6,3616,374.21,2715,125.18,5000,40.58,1251,36.68,"23-30","czerwiec","2023","24","6D"
"Śląskie",8949,25.74,-3.3,2214,149.12,2017,56.11,3799,16.88,919,12.8,"23-30","czerwiec","2023","24","6D"
"Świętokrzyskie",1502,15.94,-6.25,333,87.56,364,38.81,649,10.72,156,7.6,"23-30","czerwiec","2023","24","6D"
"Warmińsko-Mazurskie",1498,13.7,-1.59,307,64.83,355,29.96,641,8.88,195,9.49,"23-30","czerwiec","2023","24","6D"
"Wielkopolskie",11549,41.32,2.38,3230,230.86,2698,84.61,4598,25.14,1023,20.17,"23-30","czerwiec","2023","24","6D"
"Zachodniopomorskie",1244,9.48,1.36,311,57.51,315,23.47,473,5.54,145,5.36,"23-30","czerwiec","2023","24","6D"
