"woj","o_l","o_z","o_z_wsk","l_0_4","z_0_4","l_5_14","z_5_14","l_15_64","z_15_64","l_65","z_65","tydz","data"
"Podlaskie",7883,95.48,32.18,1514,379.16,2453,304.1,3069,54.77,847,58.54,"2020_02D","23_do_29_lutego_2020"
"Pomorskie",33257,203.23,-1.86,7201,787.5,10013,547.81,13567,124.49,2476,90.91,"2020_02D","23_do_29_lutego_2020"
"Śląskie",21527,67.98,-5.94,4099,275.8,7128,229.55,8658,41.04,1642,27.46,"2020_02D","23_do_29_lutego_2020"
"Świętokrzyskie",3954,45.65,4.56,868,234.73,1147,139.6,1563,26.98,376,22.41,"2020_02D","23_do_29_lutego_2020"
"Warmińsko-Mazurskie",7860,78.74,21.75,1265,266.76,2470,234.01,3303,48.35,822,50.71,"2020_02D","23_do_29_lutego_2020"
"Wielkopolskie",28546,116.67,15.26,6269,469.65,7458,276.39,12133,74.03,2686,66.37,"2020_02D","23_do_29_lutego_2020"
"Zachodniopomorskie",2869,24.13,0.24,543,100.51,512,43.22,1444,18.02,370,17.22,"2020_02D","23_do_29_lutego_2020"
"Dolnośląskie",10250,50.49,-0.99,2140,222.28,2272,114.34,4688,34.59,1150,30.29,"2020_03A","1_do_7_marca_2020"
"Kujawsko-Pomorskie",12540,86.35,-0.92,2243,324.96,4005,265.61,5368,54.81,924,36.53,"2020_03A","1_do_7_marca_2020"
"Lubelskie",11137,75.32,-13.67,1731,251.59,3016,202.83,5111,51.59,1279,47.3,"2020_03A","1_do_7_marca_2020"
"Lubuskie",2982,42.05,6.18,663,196.43,993,132.9,1199,25.07,127,10.38,"2020_03A","1_do_7_marca_2020"
"Łódzkie",15891,92.28,-3.22,2197,278.3,5867,349.42,6197,54.65,1630,47.77,"2020_03A","1_do_7_marca_2020"
"Małopolskie",17450,73.21,-3.96,3739,289.82,4902,192.91,7315,45.72,1494,37.31,"2020_03A","1_do_7_marca_2020"
"Mazowieckie",24451,64.55,-10.62,4843,231.63,5200,126.56,11933,47.92,2475,36.52,"2020_03A","1_do_7_marca_2020"
"Opolskie",2076,30.13,8.32,430,142.7,438,70.38,951,20.28,257,20.13,"2020_03A","1_do_7_marca_2020"
"Podkarpackie",7871,52.85,8.03,1204,165.57,2357,153.97,3601,35.47,709,28.58,"2020_03A","1_do_7_marca_2020"
"Podlaskie",6348,76.89,-18.59,1149,287.75,1833,227.24,2669,47.63,697,48.17,"2020_03A","1_do_7_marca_2020"
"Pomorskie",32535,198.82,-4.41,6768,740.14,8992,491.95,14200,130.29,2575,94.54,"2020_03A","1_do_7_marca_2020"
"Śląskie",24128,76.19,8.21,4711,316.98,6885,221.73,10592,50.21,1940,32.44,"2020_03A","1_do_7_marca_2020"
"Świętokrzyskie",4062,46.9,1.25,783,211.75,1208,147.02,1733,29.92,338,20.15,"2020_03A","1_do_7_marca_2020"
"Warmińsko-Mazurskie",6894,69.07,-9.68,1146,241.67,2005,189.95,3080,45.09,663,40.9,"2020_03A","1_do_7_marca_2020"
