"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","dni","miesiac","rok","tydz","numer"
"Podlaskie",12,0.65,0,0,12,100,0,0,"8-15","maj","2023","18","5B"
"Pomorskie",34,0.2,0,0,33,97.1,1,2.9,"8-15","maj","2023","18","5B"
"Śląskie",68,0.52,4,5.9,57,83.8,7,10.3,"8-15","maj","2023","18","5B"
"Świętokrzyskie",22,0.69,1,4.5,21,95.5,1,4.5,"8-15","maj","2023","18","5B"
"Warmińsko-Mazurskie",19,0.86,0,0,19,100,0,0,"8-15","maj","2023","18","5B"
"Wielkopolskie",51,0.27,0,0,45,88.2,11,21.6,"8-15","maj","2023","18","5B"
"Zachodniopomorskie",6,0.43,0,0,5,83.3,1,16.7,"8-15","maj","2023","18","5B"
"Dolnośląskie",21,0.5,0,0,21,100,0,0,"16-22","maj","2023","19","5C"
"Kujawsko-Pomorskie",61,1.17,4,6.6,46,75.4,13,21.3,"16-22","maj","2023","19","5C"
"Lubelskie",10,0.3,0,0,8,80,3,30,"16-22","maj","2023","19","5C"
"Lubuskie",3,0.28,0,0,3,100,0,0,"16-22","maj","2023","19","5C"
"Łódzkie",19,0.66,1,5.3,18,94.7,0,0,"16-22","maj","2023","19","5C"
"Małopolskie",17,0.22,0,0,11,64.7,6,35.3,"16-22","maj","2023","19","5C"
"Mazowieckie",58,0.32,2,3.4,54,93.1,2,3.4,"16-22","maj","2023","19","5C"
"Opolskie",3,0.34,0,0,3,100,0,0,"16-22","maj","2023","19","5C"
"Podkarpackie",14,1.35,0,0,14,100,0,0,"16-22","maj","2023","19","5C"
"Podlaskie",4,0.32,0,0,4,100,0,0,"16-22","maj","2023","19","5C"
"Pomorskie",42,0.27,1,2.4,37,88.1,4,9.5,"16-22","maj","2023","19","5C"
"Śląskie",68,0.68,12,17.6,61,89.7,2,2.9,"16-22","maj","2023","19","5C"
"Świętokrzyskie",17,1.06,0,0,17,100,0,0,"16-22","maj","2023","19","5C"
"Warmińsko-Mazurskie",10,0.48,0,0,10,100,0,0,"16-22","maj","2023","19","5C"
"Wielkopolskie",48,0.38,0,0,46,95.8,3,6.3,"16-22","maj","2023","19","5C"
"Zachodniopomorskie",1,0.13,0,0,1,100,0,0,"16-22","maj","2023","19","5C"
"Dolnośląskie",21,0.46,0,0,21,100,0,0,"23-31","maj","2023","20","5D"
"Kujawsko-Pomorskie",70,1.08,0,0,61,87.1,9,12.9,"23-31","maj","2023","20","5D"
"Lubelskie",10,0.29,0,0,10,100,0,0,"23-31","maj","2023","20","5D"
"Lubuskie",4,0.25,0,0,4,100,0,0,"23-31","maj","2023","20","5D"
"Łódzkie",14,0.43,0,0,14,100,0,0,"23-31","maj","2023","20","5D"
"Małopolskie",11,0.12,0,0,8,72.7,3,27.3,"23-31","maj","2023","20","5D"
"Mazowieckie",77,0.39,1,1.3,74,96.1,2,2.6,"23-31","maj","2023","20","5D"
"Opolskie",2,0.2,0,0,2,100,0,0,"23-31","maj","2023","20","5D"
"Podkarpackie",14,0.91,1,7.1,11,78.6,2,14.3,"23-31","maj","2023","20","5D"
"Podlaskie",5,0.29,0,0,5,100,0,0,"23-31","maj","2023","20","5D"
"Pomorskie",37,0.21,0,0,37,100,0,0,"23-31","maj","2023","20","5D"
"Śląskie",92,0.64,6,6.5,83,90.2,3,3.3,"23-31","maj","2023","20","5D"
"Świętokrzyskie",17,0.68,7,41.2,10,58.8,0,0,"23-31","maj","2023","20","5D"
"Warmińsko-Mazurskie",22,0.97,0,0,22,100,0,0,"23-31","maj","2023","20","5D"
"Wielkopolskie",61,0.36,0,0,58,95.1,5,8.2,"23-31","maj","2023","20","5D"
"Zachodniopomorskie",11,0.67,27.3,0,9,81.8,0,0,"23-31","maj","2023","20","5D"
"Dolnośląskie",23,0.63,1,4.3,23,100,0,0,"1-7","czerwiec","2023","21","6A"
"Kujawsko-Pomorskie",50,1.08,0,0,49,98,1,2,"1-7","czerwiec","2023","21","6A"
"Lubelskie",6,0.15,0,0,6,100,0,0,"1-7","czerwiec","2023","21","6A"
"Lubuskie",0,0,0,0,0,0,0,0,"1-7","czerwiec","2023","21","6A"
"Łódzkie",7,0.34,0,0,7,100,0,0,"1-7","czerwiec","2023","21","6A"
"Małopolskie",32,0.36,0,0,24,75,8,25,"1-7","czerwiec","2023","21","6A"
"Mazowieckie",28,0.17,0,0,27,96.4,1,3.6,"1-7","czerwiec","2023","21","6A"
"Opolskie",0,0,0,0,0,0,0,0,"1-7","czerwiec","2023","21","6A"
"Podkarpackie",9,0.96,0,0,9,100,0,0,"1-7","czerwiec","2023","21","6A"
"Podlaskie",4,0.27,0,0,4,100,0,0,"1-7","czerwiec","2023","21","6A"
"Pomorskie",34,0.25,1,2.9,27,79.4,6,17.6,"1-7","czerwiec","2023","21","6A"
"Śląskie",55,0.51,4,7.3,49,89.1,2,3.6,"1-7","czerwiec","2023","21","6A"
"Świętokrzyskie",8,0.38,1,12.5,7,87.5,0,0,"1-7","czerwiec","2023","21","6A"
"Warmińsko-Mazurskie",15,1.01,0,0,15,100,0,0,"1-7","czerwiec","2023","21","6A"
"Wielkopolskie",38,0.31,0,0,37,97.4,3,7.9,"1-7","czerwiec","2023","21","6A"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"1-7","czerwiec","2023","21","6A"
"Dolnośląskie",19,0.59,0,0,19,100,0,0,"8-15","czerwiec","2023","22","6B"
"Kujawsko-Pomorskie",52,1.1,0,0,44,84.6,8,15.4,"8-15","czerwiec","2023","22","6B"
"Lubelskie",6,0.21,0,0,6,100,0,0,"8-15","czerwiec","2023","22","6B"
"Lubuskie",5,0.54,0,0,5,100,0,0,"8-15","czerwiec","2023","22","6B"
"Łódzkie",14,0.54,0,0,14,100,0,0,"8-15","czerwiec","2023","22","6B"
"Małopolskie",4,0.06,0,0,4,100,0,0,"8-15","czerwiec","2023","22","6B"
"Mazowieckie",37,0.21,0,0,37,100,0,0,"8-15","czerwiec","2023","22","6B"
"Opolskie",1,0.08,0,0,1,100,0,0,"8-15","czerwiec","2023","22","6B"
"Podkarpackie",4,0.57,0,0,3,75,1,25,"8-15","czerwiec","2023","22","6B"
"Podlaskie",2,0.21,0,0,1,50,1,50,"8-15","czerwiec","2023","22","6B"
"Pomorskie",49,0.31,4,8.2,45,91.8,0,0,"8-15","czerwiec","2023","22","6B"
"Śląskie",61,0.65,0,0,61,100,0,0,"8-15","czerwiec","2023","22","6B"
"Świętokrzyskie",5,0.38,0,0,5,100,0,0,"8-15","czerwiec","2023","22","6B"
"Warmińsko-Mazurskie",10,0.57,0,0,10,100,0,0,"8-15","czerwiec","2023","22","6B"
"Wielkopolskie",46,0.39,0,0,44,95.7,2,4.3,"8-15","czerwiec","2023","22","6B"
"Zachodniopomorskie",3,0.23,0,0,3,100,0,0,"8-15","czerwiec","2023","22","6B"
"Dolnośląskie",22,0.79,1,4.5,20,90.9,2,9.1,"16-22","czerwiec","2023","23","6C"
"Kujawsko-Pomorskie",31,0.81,2,6.5,29,93.5,0,0,"16-22","czerwiec","2023","23","6C"
"Lubelskie",3,0.14,0,0,3,100,1,33.3,"16-22","czerwiec","2023","23","6C"
"Lubuskie",1,0.14,0,0,1,100,0,0,"16-22","czerwiec","2023","23","6C"
"Łódzkie",19,0.78,2,10.5,17,89.5,0,0,"16-22","czerwiec","2023","23","6C"
"Małopolskie",9,0.14,0,0,9,100,0,0,"16-22","czerwiec","2023","23","6C"
"Mazowieckie",17,0.1,1,5.9,16,94.1,0,0,"16-22","czerwiec","2023","23","6C"
"Opolskie",1,0.15,0,0,1,100,0,0,"16-22","czerwiec","2023","23","6C"
"Podkarpackie",5,0.5,0,0,5,100,0,0,"16-22","czerwiec","2023","23","6C"
"Podlaskie",0,0,0,0,0,0,0,0,"16-22","czerwiec","2023","23","6C"
"Pomorskie",37,0.33,0,0,34,91.9,3,8.1,"16-22","czerwiec","2023","23","6C"
"Śląskie",42,0.48,0,0,41,97.6,1,2.4,"16-22","czerwiec","2023","23","6C"
"Świętokrzyskie",3,0.16,0,0,3,100,0,0,"16-22","czerwiec","2023","23","6C"
"Warmińsko-Mazurskie",9,0.62,0,0,9,100,0,0,"16-22","czerwiec","2023","23","6C"
"Wielkopolskie",45,0.47,4,8.9,40,88.9,1,2.2,"16-22","czerwiec","2023","23","6C"
"Zachodniopomorskie",7,0.75,0,0,7,100,0,0,"16-22","czerwiec","2023","23","6C"
"Dolnośląskie",34,1.04,0,0,32,94.1,2,5.9,"23-30","czerwiec","2023","24","6D"
"Kujawsko-Pomorskie",56,1.27,0,0,40,71.4,16,28.6,"23-30","czerwiec","2023","24","6D"
"Lubelskie",3,0.12,0,0,3,100,0,0,"23-30","czerwiec","2023","24","6D"
"Lubuskie",3,0.27,0,0,3,100,0,0,"23-30","czerwiec","2023","24","6D"
"Łódzkie",10,0.48,0,0,10,100,0,0,"23-30","czerwiec","2023","24","6D"
"Małopolskie",19,0.23,0,0,15,78.9,4,21.1,"23-30","czerwiec","2023","24","6D"
"Mazowieckie",33,0.26,0,0,22,66.7,11,33.3,"23-30","czerwiec","2023","24","6D"
"Opolskie",1,0.1,0,0,1,100,0,0,"23-30","czerwiec","2023","24","6D"
"Podkarpackie",5,0.47,0,0,5,100,0,0,"23-30","czerwiec","2023","24","6D"
"Podlaskie",3,0.26,0,0,3,100,0,0,"23-30","czerwiec","2023","24","6D"
"Pomorskie",37,0.29,0,0,37,100,0,0,"23-30","czerwiec","2023","24","6D"
"Śląskie",40,0.45,0,0,39,97.5,1,2.5,"23-30","czerwiec","2023","24","6D"
"Świętokrzyskie",10,0.67,0,0,10,100,0,0,"23-30","czerwiec","2023","24","6D"
"Warmińsko-Mazurskie",9,0.6,0,0,9,100,0,0,"23-30","czerwiec","2023","24","6D"
"Wielkopolskie",51,0.44,2,3.9,48,94.1,3,5.9,"23-30","czerwiec","2023","24","6D"
"Zachodniopomorskie",12,0.96,8.3,0,12,100,1,8.3,"23-30","czerwiec","2023","24","6D"
