"woj","suma","w_0_4","w_5_14","w_15_64","w_65","dni","miesiac","rok","tydz","numer"
"Lubelskie",0,0,0,0,0,"23-31","marzec","2023","12","3D"
"Lubuskie",0,0,0,0,0,"23-31","marzec","2023","12","3D"
"Łódzkie",0,0,0,0,0,"23-31","marzec","2023","12","3D"
"Małopolskie",0,0,0,0,0,"23-31","marzec","2023","12","3D"
"Mazowieckie",0,0,0,0,0,"23-31","marzec","2023","12","3D"
"Opolskie",0,0,0,0,0,"23-31","marzec","2023","12","3D"
"Podkarpackie",0,0,0,0,0,"23-31","marzec","2023","12","3D"
"Podlaskie",0,0,0,0,0,"23-31","marzec","2023","12","3D"
"Pomorskie",0,0,0,0,0,"23-31","marzec","2023","12","3D"
"Śląskie",0,0,0,0,0,"23-31","marzec","2023","12","3D"
"Świętokrzyskie",0,0,0,0,0,"23-31","marzec","2023","12","3D"
"Warmińsko-Mazurskie",0,0,0,0,0,"23-31","marzec","2023","12","3D"
"Wielkopolskie",0,0,0,0,0,"23-31","marzec","2023","12","3D"
"Zachodniopomorskie",1,0,0,0,1,"23-31","marzec","2023","12","3D"
