"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","tydz","data"
"Śląskie",1,0.08,0,0,1,100,0,0,"2010_02C","16_do_22_lutego_2010"
"Świętokrzyskie",5,50,0,0,5,100,5,100,"2010_02C","16_do_22_lutego_2010"
"Warmińsko-Mazurskie",1,0.22,0,0,1,100,0,0,"2010_02C","16_do_22_lutego_2010"
"Wielkopolskie",28,0.95,0,0,26,92.9,7,25,"2010_02C","16_do_22_lutego_2010"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2010_02C","16_do_22_lutego_2010"
"Dolnośląskie",1,0.08,0,0,1,100,0,0,"2010_02D","23_do_28_lutego_2010"
"Kujawsko-Pomorskie",0,0,0,0,0,0,0,0,"2010_02D","23_do_28_lutego_2010"
"Lubelskie",0,0,0,0,0,0,0,0,"2010_02D","23_do_28_lutego_2010"
"Lubuskie",0,0,0,0,0,0,0,0,"2010_02D","23_do_28_lutego_2010"
"Łódzkie",2,0.18,0,0,0,0,2,100,"2010_02D","23_do_28_lutego_2010"
"Małopolskie",5,0.37,0,0,5,100,1,20,"2010_02D","23_do_28_lutego_2010"
"Mazowieckie",0,0,0,0,0,0,0,0,"2010_02D","23_do_28_lutego_2010"
"Opolskie",0,0,0,0,0,0,0,0,"2010_02D","23_do_28_lutego_2010"
"Podkarpackie",0,0,0,0,0,0,0,0,"2010_02D","23_do_28_lutego_2010"
"Podlaskie",0,0,0,0,0,0,0,0,"2010_02D","23_do_28_lutego_2010"
"Pomorskie",0,0,0,0,0,0,0,0,"2010_02D","23_do_28_lutego_2010"
"Śląskie",1,0.12,0,0,1,100,0,0,"2010_02D","23_do_28_lutego_2010"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2010_02D","23_do_28_lutego_2010"
"Warmińsko-Mazurskie",0,0,0,0,0,0,0,0,"2010_02D","23_do_28_lutego_2010"
"Wielkopolskie",39,1.75,0,0,25,64.1,16,41,"2010_02D","23_do_28_lutego_2010"
"Zachodniopomorskie",7,2.21,0,0,7,100,0,0,"2010_02D","23_do_28_lutego_2010"
"Dolnośląskie",2,0.12,0,0,2,100,0,0,"2010_03A","1_do_7_marca_2010"
"Kujawsko-Pomorskie",1,0.21,0,0,1,100,0,0,"2010_03A","1_do_7_marca_2010"
"Lubelskie",0,0,0,0,0,0,0,0,"2010_03A","1_do_7_marca_2010"
"Lubuskie",0,0,0,0,0,0,0,0,"2010_03A","1_do_7_marca_2010"
"Łódzkie",1,0.15,0,0,0,0,1,100,"2010_03A","1_do_7_marca_2010"
"Małopolskie",11,1.03,0,0,11,100,0,0,"2010_03A","1_do_7_marca_2010"
"Mazowieckie",1,0.04,0,0,1,100,0,0,"2010_03A","1_do_7_marca_2010"
"Opolskie",0,0,0,0,0,0,0,0,"2010_03A","1_do_7_marca_2010"
"Podkarpackie",0,0,0,0,0,0,0,0,"2010_03A","1_do_7_marca_2010"
"Podlaskie",3,1.01,0,0,3,100,0,0,"2010_03A","1_do_7_marca_2010"
"Pomorskie",0,0,0,0,0,0,0,0,"2010_03A","1_do_7_marca_2010"
"Śląskie",0,0,0,0,0,0,0,0,"2010_03A","1_do_7_marca_2010"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2010_03A","1_do_7_marca_2010"
"Warmińsko-Mazurskie",0,0,0,0,0,0,0,0,"2010_03A","1_do_7_marca_2010"
"Wielkopolskie",11,0.43,2,18.2,9,81.8,0,0,"2010_03A","1_do_7_marca_2010"
"Zachodniopomorskie",3,0.83,0,0,3,100,0,0,"2010_03A","1_do_7_marca_2010"
"Dolnośląskie",1,0.05,0,0,1,100,0,0,"2010_03B","8_do_15_marca_2010"
"Kujawsko-Pomorskie",2,0.22,0,0,1,50,1,50,"2010_03B","8_do_15_marca_2010"
"Lubelskie",0,0,0,0,0,0,0,0,"2010_03B","8_do_15_marca_2010"
"Lubuskie",0,0,0,0,0,0,0,0,"2010_03B","8_do_15_marca_2010"
"Łódzkie",3,0.23,0,0,0,0,3,100,"2010_03B","8_do_15_marca_2010"
"Małopolskie",3,0.26,0,0,3,100,0,0,"2010_03B","8_do_15_marca_2010"
"Mazowieckie",0,0,0,0,0,0,0,0,"2010_03B","8_do_15_marca_2010"
"Opolskie",2,0.25,0,0,2,100,0,0,"2010_03B","8_do_15_marca_2010"
"Podkarpackie",0,0,0,0,0,0,0,0,"2010_03B","8_do_15_marca_2010"
