"woj","suma","w_0_4","w_5_14","w_15_64","w_65","dni","miesiac","rok","tydz","numer"
"Wielkopolskie",0,0,0,0,0,"16-22","czerwiec","2022","23","6C"
"Zachodniopomorskie",0,0,0,0,0,"16-22","czerwiec","2022","23","6C"
"Dolnośląskie",0,0,0,0,0,"23-30","czerwiec","2022","24","6D"
"Kujawsko-Pomorskie",0,0,0,0,0,"23-30","czerwiec","2022","24","6D"
"Lubelskie",0,0,0,0,0,"23-30","czerwiec","2022","24","6D"
"Lubuskie",0,0,0,0,0,"23-30","czerwiec","2022","24","6D"
"Łódzkie",0,0,0,0,0,"23-30","czerwiec","2022","24","6D"
"Małopolskie",0,0,0,0,0,"23-30","czerwiec","2022","24","6D"
"Mazowieckie",0,0,0,0,0,"23-30","czerwiec","2022","24","6D"
"Opolskie",0,0,0,0,0,"23-30","czerwiec","2022","24","6D"
"Podkarpackie",0,0,0,0,0,"23-30","czerwiec","2022","24","6D"
"Podlaskie",0,0,0,0,0,"23-30","czerwiec","2022","24","6D"
"Pomorskie",0,0,0,0,0,"23-30","czerwiec","2022","24","6D"
"Śląskie",0,0,0,0,0,"23-30","czerwiec","2022","24","6D"
"Świętokrzyskie",0,0,0,0,0,"23-30","czerwiec","2022","24","6D"
"Warmińsko-Mazurskie",0,0,0,0,0,"23-30","czerwiec","2022","24","6D"
"Wielkopolskie",0,0,0,0,0,"23-30","czerwiec","2022","24","6D"
"Zachodniopomorskie",0,0,0,0,0,"23-30","czerwiec","2022","24","6D"
"Dolnośląskie",0,0,0,0,0,"1-7","lipiec","2022","25","7A"
"Kujawsko-Pomorskie",0,0,0,0,0,"1-7","lipiec","2022","25","7A"
"Lubelskie",0,0,0,0,0,"1-7","lipiec","2022","25","7A"
"Lubuskie",0,0,0,0,0,"1-7","lipiec","2022","25","7A"
"Łódzkie",0,0,0,0,0,"1-7","lipiec","2022","25","7A"
"Małopolskie",0,0,0,0,0,"1-7","lipiec","2022","25","7A"
"Mazowieckie",0,0,0,0,0,"1-7","lipiec","2022","25","7A"
"Opolskie",0,0,0,0,0,"1-7","lipiec","2022","25","7A"
"Podkarpackie",0,0,0,0,0,"1-7","lipiec","2022","25","7A"
"Podlaskie",0,0,0,0,0,"1-7","lipiec","2022","25","7A"
"Pomorskie",0,0,0,0,0,"1-7","lipiec","2022","25","7A"
"Śląskie",0,0,0,0,0,"1-7","lipiec","2022","25","7A"
"Świętokrzyskie",0,0,0,0,0,"1-7","lipiec","2022","25","7A"
"Warmińsko-Mazurskie",0,0,0,0,0,"1-7","lipiec","2022","25","7A"
"Wielkopolskie",0,0,0,0,0,"1-7","lipiec","2022","25","7A"
"Zachodniopomorskie",0,0,0,0,0,"1-7","lipiec","2022","25","7A"
"Dolnośląskie",0,0,0,0,0,"8-15","lipiec","2022","26","7B"
"Kujawsko-Pomorskie",0,0,0,0,0,"8-15","lipiec","2022","26","7B"
"Lubelskie",0,0,0,0,0,"8-15","lipiec","2022","26","7B"
"Lubuskie",0,0,0,0,0,"8-15","lipiec","2022","26","7B"
"Łódzkie",0,0,0,0,0,"8-15","lipiec","2022","26","7B"
"Małopolskie",0,0,0,0,0,"8-15","lipiec","2022","26","7B"
"Mazowieckie",0,0,0,0,0,"8-15","lipiec","2022","26","7B"
"Opolskie",0,0,0,0,0,"8-15","lipiec","2022","26","7B"
"Podkarpackie",0,0,0,0,0,"8-15","lipiec","2022","26","7B"
"Podlaskie",0,0,0,0,0,"8-15","lipiec","2022","26","7B"
"Pomorskie",0,0,0,0,0,"8-15","lipiec","2022","26","7B"
"Śląskie",0,0,0,0,0,"8-15","lipiec","2022","26","7B"
"Świętokrzyskie",0,0,0,0,0,"8-15","lipiec","2022","26","7B"
"Warmińsko-Mazurskie",0,0,0,0,0,"8-15","lipiec","2022","26","7B"
"Wielkopolskie",0,0,0,0,0,"8-15","lipiec","2022","26","7B"
"Zachodniopomorskie",0,0,0,0,0,"8-15","lipiec","2022","26","7B"
"Dolnośląskie",0,0,0,0,0,"16-22","lipiec","2022","27","7C"
"Kujawsko-Pomorskie",0,0,0,0,0,"16-22","lipiec","2022","27","7C"
"Lubelskie",0,0,0,0,0,"16-22","lipiec","2022","27","7C"
"Lubuskie",0,0,0,0,0,"16-22","lipiec","2022","27","7C"
"Łódzkie",0,0,0,0,0,"16-22","lipiec","2022","27","7C"
"Małopolskie",0,0,0,0,0,"16-22","lipiec","2022","27","7C"
"Mazowieckie",0,0,0,0,0,"16-22","lipiec","2022","27","7C"
"Opolskie",0,0,0,0,0,"16-22","lipiec","2022","27","7C"
"Podkarpackie",0,0,0,0,0,"16-22","lipiec","2022","27","7C"
"Podlaskie",0,0,0,0,0,"16-22","lipiec","2022","27","7C"
"Pomorskie",0,0,0,0,0,"16-22","lipiec","2022","27","7C"
"Śląskie",0,0,0,0,0,"16-22","lipiec","2022","27","7C"
"Świętokrzyskie",0,0,0,0,0,"16-22","lipiec","2022","27","7C"
"Warmińsko-Mazurskie",0,0,0,0,0,"16-22","lipiec","2022","27","7C"
"Wielkopolskie",0,0,0,0,0,"16-22","lipiec","2022","27","7C"
"Zachodniopomorskie",0,0,0,0,0,"16-22","lipiec","2022","27","7C"
"Dolnośląskie",0,0,0,0,0,"23-31","lipiec","2022","28","7D"
"Kujawsko-Pomorskie",0,0,0,0,0,"23-31","lipiec","2022","28","7D"
"Lubelskie",0,0,0,0,0,"23-31","lipiec","2022","28","7D"
"Lubuskie",0,0,0,0,0,"23-31","lipiec","2022","28","7D"
"Łódzkie",0,0,0,0,0,"23-31","lipiec","2022","28","7D"
"Małopolskie",0,0,0,0,0,"23-31","lipiec","2022","28","7D"
"Mazowieckie",0,0,0,0,0,"23-31","lipiec","2022","28","7D"
"Opolskie",0,0,0,0,0,"23-31","lipiec","2022","28","7D"
"Podkarpackie",0,0,0,0,0,"23-31","lipiec","2022","28","7D"
"Podlaskie",0,0,0,0,0,"23-31","lipiec","2022","28","7D"
"Pomorskie",0,0,0,0,0,"23-31","lipiec","2022","28","7D"
"Śląskie",0,0,0,0,0,"23-31","lipiec","2022","28","7D"
"Świętokrzyskie",0,0,0,0,0,"23-31","lipiec","2022","28","7D"
"Warmińsko-Mazurskie",0,0,0,0,0,"23-31","lipiec","2022","28","7D"
"Wielkopolskie",0,0,0,0,0,"23-31","lipiec","2022","28","7D"
"Zachodniopomorskie",0,0,0,0,0,"23-31","lipiec","2022","28","7D"
"Dolnośląskie",0,0,0,0,0,"1-7","sierpień","2022","29","8A"
"Kujawsko-Pomorskie",0,0,0,0,0,"1-7","sierpień","2022","29","8A"
"Lubelskie",0,0,0,0,0,"1-7","sierpień","2022","29","8A"
"Lubuskie",0,0,0,0,0,"1-7","sierpień","2022","29","8A"
"Łódzkie",0,0,0,0,0,"1-7","sierpień","2022","29","8A"
"Małopolskie",0,0,0,0,0,"1-7","sierpień","2022","29","8A"
"Mazowieckie",0,0,0,0,0,"1-7","sierpień","2022","29","8A"
"Opolskie",0,0,0,0,0,"1-7","sierpień","2022","29","8A"
"Podkarpackie",0,0,0,0,0,"1-7","sierpień","2022","29","8A"
"Podlaskie",0,0,0,0,0,"1-7","sierpień","2022","29","8A"
"Pomorskie",0,0,0,0,0,"1-7","sierpień","2022","29","8A"
"Śląskie",0,0,0,0,0,"1-7","sierpień","2022","29","8A"
"Świętokrzyskie",0,0,0,0,0,"1-7","sierpień","2022","29","8A"
"Warmińsko-Mazurskie",0,0,0,0,0,"1-7","sierpień","2022","29","8A"
"Wielkopolskie",0,0,0,0,0,"1-7","sierpień","2022","29","8A"
"Zachodniopomorskie",0,0,0,0,0,"1-7","sierpień","2022","29","8A"
"Dolnośląskie",0,0,0,0,0,"8-15","sierpień","2022","30","8B"
"Kujawsko-Pomorskie",0,0,0,0,0,"8-15","sierpień","2022","30","8B"
"Lubelskie",0,0,0,0,0,"8-15","sierpień","2022","30","8B"
"Lubuskie",0,0,0,0,0,"8-15","sierpień","2022","30","8B"
"Łódzkie",0,0,0,0,0,"8-15","sierpień","2022","30","8B"
"Małopolskie",0,0,0,0,0,"8-15","sierpień","2022","30","8B"
"Mazowieckie",0,0,0,0,0,"8-15","sierpień","2022","30","8B"
"Opolskie",0,0,0,0,0,"8-15","sierpień","2022","30","8B"
"Podkarpackie",0,0,0,0,0,"8-15","sierpień","2022","30","8B"
"Podlaskie",0,0,0,0,0,"8-15","sierpień","2022","30","8B"
"Pomorskie",0,0,0,0,0,"8-15","sierpień","2022","30","8B"
"Śląskie",0,0,0,0,0,"8-15","sierpień","2022","30","8B"
"Świętokrzyskie",0,0,0,0,0,"8-15","sierpień","2022","30","8B"
"Warmińsko-Mazurskie",0,0,0,0,0,"8-15","sierpień","2022","30","8B"
"Wielkopolskie",0,0,0,0,0,"8-15","sierpień","2022","30","8B"
"Zachodniopomorskie",0,0,0,0,0,"8-15","sierpień","2022","30","8B"
"Dolnośląskie",0,0,0,0,0,"16-22","sierpień","2022","31","8C"
"Kujawsko-Pomorskie",0,0,0,0,0,"16-22","sierpień","2022","31","8C"
"Lubelskie",0,0,0,0,0,"16-22","sierpień","2022","31","8C"
"Lubuskie",0,0,0,0,0,"16-22","sierpień","2022","31","8C"
"Łódzkie",0,0,0,0,0,"16-22","sierpień","2022","31","8C"
"Małopolskie",0,0,0,0,0,"16-22","sierpień","2022","31","8C"
"Mazowieckie",0,0,0,0,0,"16-22","sierpień","2022","31","8C"
"Opolskie",0,0,0,0,0,"16-22","sierpień","2022","31","8C"
"Podkarpackie",0,0,0,0,0,"16-22","sierpień","2022","31","8C"
"Podlaskie",0,0,0,0,0,"16-22","sierpień","2022","31","8C"
"Pomorskie",0,0,0,0,0,"16-22","sierpień","2022","31","8C"
"Śląskie",0,0,0,0,0,"16-22","sierpień","2022","31","8C"
"Świętokrzyskie",0,0,0,0,0,"16-22","sierpień","2022","31","8C"
"Warmińsko-Mazurskie",0,0,0,0,0,"16-22","sierpień","2022","31","8C"
"Wielkopolskie",0,0,0,0,0,"16-22","sierpień","2022","31","8C"
"Zachodniopomorskie",0,0,0,0,0,"16-22","sierpień","2022","31","8C"
"Dolnośląskie",0,0,0,0,0,"23-31","sierpień","2022","32","8D"
"Kujawsko-Pomorskie",0,0,0,0,0,"23-31","sierpień","2022","32","8D"
"Lubelskie",0,0,0,0,0,"23-31","sierpień","2022","32","8D"
"Lubuskie",0,0,0,0,0,"23-31","sierpień","2022","32","8D"
"Łódzkie",0,0,0,0,0,"23-31","sierpień","2022","32","8D"
"Małopolskie",0,0,0,0,0,"23-31","sierpień","2022","32","8D"
"Mazowieckie",0,0,0,0,0,"23-31","sierpień","2022","32","8D"
"Opolskie",0,0,0,0,0,"23-31","sierpień","2022","32","8D"
"Podkarpackie",0,0,0,0,0,"23-31","sierpień","2022","32","8D"
"Podlaskie",0,0,0,0,0,"23-31","sierpień","2022","32","8D"
"Pomorskie",0,0,0,0,0,"23-31","sierpień","2022","32","8D"
"Śląskie",0,0,0,0,0,"23-31","sierpień","2022","32","8D"
"Świętokrzyskie",0,0,0,0,0,"23-31","sierpień","2022","32","8D"
"Warmińsko-Mazurskie",0,0,0,0,0,"23-31","sierpień","2022","32","8D"
"Wielkopolskie",1,0,0,0,1,"23-31","sierpień","2022","32","8D"
"Zachodniopomorskie",0,0,0,0,0,"23-31","sierpień","2022","32","8D"
