"woj","o_l","o_z","o_z_wsk","l_0_4","z_0_4","l_5_14","z_5_14","l_15_64","z_15_64","l_65","z_65","dni","miesiac","rok","tydz","numer"
"Pomorskie",8121,57.69,-2.53,2374,303.73,1474,92.74,3490,37.83,783,31.59,"23-28","luty","2022","8","2D"
"Śląskie",4393,16.37,-2.86,1053,85.9,561,20.92,2231,12.7,548,10.23,"23-28","luty","2022","8","2D"
"Świętokrzyskie",1166,15.95,4.66,289,95.35,300,43.05,455,9.46,122,8.15,"23-28","luty","2022","8","2D"
"Warmińsko-Mazurskie",1435,16.95,-1.09,294,75.65,368,41.22,605,10.61,168,11.35,"23-28","luty","2022","8","2D"
"Wielkopolskie",8579,40.95,-6.6,1980,175.44,2101,89.83,3687,26.67,811,22.17,"23-28","luty","2022","8","2D"
"Zachodniopomorskie",530,5.25,0.68,85,19.11,108,10.71,285,4.27,52,2.64,"23-28","luty","2022","8","2D"
"Dolnośląskie",3373,16.71,3.84,649,68.51,657,32.7,1578,11.94,489,12.18,"1-7","marzec","2022","9","3A"
"Kujawsko-Pomorskie",4035,28.06,-2.64,929,138.49,986,65.93,1738,18.2,382,14.35,"1-7","marzec","2022","9","3A"
"Lubelskie",2083,14.26,1.69,532,79.9,346,23.55,987,10.23,218,7.74,"1-7","marzec","2022","9","3A"
"Lubuskie",785,11.18,-1.17,217,67.09,233,31.37,300,6.44,35,2.7,"1-7","marzec","2022","9","3A"
"Łódzkie",1825,10.74,-5.6,438,57.18,321,19.15,807,7.34,259,7.3,"1-7","marzec","2022","9","3A"
"Małopolskie",5733,24.03,3.03,1536,119,1477,57.33,2246,14.21,474,11.33,"1-7","marzec","2022","9","3A"
"Mazowieckie",12293,32.4,2.46,2787,134.01,3102,73.99,5246,21.34,1158,16.33,"1-7","marzec","2022","9","3A"
"Opolskie",765,11.23,-1.48,197,66.94,173,27.76,330,7.24,65,4.87,"1-7","marzec","2022","9","3A"
"Podkarpackie",621,4.19,-3.79,163,22.63,133,8.76,257,2.58,68,2.62,"1-7","marzec","2022","9","3A"
"Podlaskie",1031,12.59,-0.97,190,48.16,281,34.81,444,8.11,116,7.7,"1-7","marzec","2022","9","3A"
"Pomorskie",9848,59.97,2.27,2697,295.76,2025,109.2,4176,38.8,950,32.85,"1-7","marzec","2022","9","3A"
"Śląskie",5662,18.08,1.71,1527,106.77,1047,33.47,2533,12.36,555,8.88,"1-7","marzec","2022","9","3A"
"Świętokrzyskie",2425,28.44,12.49,560,158.38,635,78.1,1023,18.22,207,11.85,"1-7","marzec","2022","9","3A"
"Warmińsko-Mazurskie",1417,14.35,-2.6,239,52.71,369,35.43,614,9.23,195,11.29,"1-7","marzec","2022","9","3A"
"Wielkopolskie",12168,49.79,8.83,2762,209.77,3118,114.27,5085,31.53,1203,28.19,"1-7","marzec","2022","9","3A"
"Zachodniopomorskie",705,5.99,0.74,124,23.89,198,16.84,311,3.99,72,3.14,"1-7","marzec","2022","9","3A"
"Dolnośląskie",3921,16.99,0.29,766,70.75,922,40.16,1762,11.67,471,10.26,"8-15","marzec","2022","10","3B"
"Kujawsko-Pomorskie",5666,34.48,6.42,1345,175.44,1419,83.02,2319,21.25,583,19.16,"8-15","marzec","2022","10","3B"
"Lubelskie",2528,15.15,0.88,582,76.48,575,34.25,1124,10.19,247,7.67,"8-15","marzec","2022","10","3B"
"Lubuskie",1186,14.78,3.6,333,90.08,302,35.58,480,9.02,71,4.79,"8-15","marzec","2022","10","3B"
"Łódzkie",2890,14.89,4.14,734,83.84,649,33.88,1188,9.45,319,7.87,"8-15","marzec","2022","10","3B"
"Małopolskie",7838,28.74,4.72,2054,139.25,2205,74.89,2991,16.55,588,12.3,"8-15","marzec","2022","10","3B"
"Mazowieckie",12293,28.35,-4.05,2787,117.26,3102,64.74,5246,18.68,1158,14.29,"8-15","marzec","2022","10","3B"
"Opolskie",1205,15.48,4.25,325,96.63,291,40.86,491,9.42,98,6.42,"8-15","marzec","2022","10","3B"
"Podkarpackie",1183,6.99,2.8,281,34.14,301,17.34,470,4.12,131,4.42,"8-15","marzec","2022","10","3B"
"Podlaskie",1481,15.83,3.24,286,63.43,415,44.98,644,10.29,136,7.9,"8-15","marzec","2022","10","3B"
"Pomorskie",14866,79.21,19.24,4160,399.17,3806,179.59,5823,47.33,1077,32.59,"8-15","marzec","2022","10","3B"
"Śląskie",8381,23.42,5.34,2122,129.83,1975,55.24,3460,14.77,824,11.53,"8-15","marzec","2022","10","3B"
"Świętokrzyskie",1110,11.39,-17.05,247,61.12,255,27.44,487,7.59,121,6.06,"8-15","marzec","2022","10","3B"
