"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","dni","miesiac","rok","tydz","numer"
"Wielkopolskie",185,0.64,2,1.1,180,97.3,5,2.7,"1-7","marzec",2020,9,"3A"
"Zachodniopomorskie",56,1.45,7.1,0,50,89.3,36,64.3,"1-7","marzec",2020,9,"3A"
"Dolnośląskie",42,0.68,0,0,41,97.6,3,7.1,"8-15","marzec",2020,10,"3B"
"Kujawsko-Pomorskie",52,0.55,11,21.2,37,71.2,11,21.2,"8-15","marzec",2020,10,"3B"
"Lubelskie",146,2.45,0,0,146,100,5,3.4,"8-15","marzec",2020,10,"3B"
"Lubuskie",19,0.84,0,0,19,100,4,21.1,"8-15","marzec",2020,10,"3B"
"Łódzkie",36,0.43,0,0,35,97.2,1,2.8,"8-15","marzec",2020,10,"3B"
"Małopolskie",59,0.44,1,1.7,24,40.7,34,57.6,"8-15","marzec",2020,10,"3B"
"Mazowieckie",156,0.69,2,1.3,135,86.5,19,12.2,"8-15","marzec",2020,10,"3B"
"Opolskie",3,0.17,0,0,3,100,0,0,"8-15","marzec",2020,10,"3B"
"Podkarpackie",87,1.91,0,0,75,86.2,23,26.4,"8-15","marzec",2020,10,"3B"
"Podlaskie",35,0.76,0,0,35,100,4,11.4,"8-15","marzec",2020,10,"3B"
"Pomorskie",121,0.52,1,0.8,120,99.2,42,34.7,"8-15","marzec",2020,10,"3B"
"Śląskie",107,0.66,0,0,107,100,8,7.5,"8-15","marzec",2020,10,"3B"
"Świętokrzyskie",102,1.8,4,3.9,95,93.1,7,6.9,"8-15","marzec",2020,10,"3B"
"Warmińsko-Mazurskie",71,1.24,0,0,71,100,0,0,"8-15","marzec",2020,10,"3B"
"Wielkopolskie",93,0.37,3,3.2,86,92.5,5,5.4,"8-15","marzec",2020,10,"3B"
"Zachodniopomorskie",99,2.84,0,0,92,92.9,74,74.7,"8-15","marzec",2020,10,"3B"
"Dolnośląskie",15,0.28,0,0,15,100,0,0,"16-22","marzec",2020,11,"3C"
"Kujawsko-Pomorskie",29,0.5,9,31,20,69,12,41.4,"16-22","marzec",2020,11,"3C"
"Lubelskie",26,0.62,0,0,26,100,3,11.5,"16-22","marzec",2020,11,"3C"
"Lubuskie",27,2.28,0,0,27,100,0,0,"16-22","marzec",2020,11,"3C"
"Łódzkie",37,0.52,0,0,37,100,0,0,"16-22","marzec",2020,11,"3C"
"Małopolskie",29,0.27,2,6.9,23,79.3,5,17.2,"16-22","marzec",2020,11,"3C"
"Mazowieckie",53,0.34,5,9.4,48,90.6,0,0,"16-22","marzec",2020,11,"3C"
"Opolskie",3,0.21,0,0,2,66.7,1,33.3,"16-22","marzec",2020,11,"3C"
"Podkarpackie",47,1.74,1,2.1,36,76.6,11,23.4,"16-22","marzec",2020,11,"3C"
"Podlaskie",23,0.94,0,0,23,100,0,0,"16-22","marzec",2020,11,"3C"
"Pomorskie",16,0.1,0,0,16,100,0,0,"16-22","marzec",2020,11,"3C"
"Śląskie",56,0.51,0,0,56,100,0,0,"16-22","marzec",2020,11,"3C"
"Świętokrzyskie",8,0.74,1,12.5,6,75,1,12.5,"16-22","marzec",2020,11,"3C"
"Warmińsko-Mazurskie",44,1.16,0,0,44,100,0,0,"16-22","marzec",2020,11,"3C"
"Wielkopolskie",57,0.31,0,0,55,96.5,2,3.5,"16-22","marzec",2020,11,"3C"
"Zachodniopomorskie",59,2,0,0,59,100,48,81.4,"16-22","marzec",2020,11,"3C"
"Dolnośląskie",17,0.24,1,5.9,17,100,0,0,"23-31","marzec",2020,12,"3D"
"Kujawsko-Pomorskie",9,0.17,1,11.1,7,77.8,1,11.1,"23-31","marzec",2020,12,"3D"
