"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","tydz","data"
"Kujawsko-Pomorskie",10,0.32,0,0,10,100,0,0,"2021_02C","16_do_22_lutego_2021"
"Lubelskie",2,0.11,0,0,2,100,0,0,"2021_02C","16_do_22_lutego_2021"
"Lubuskie",2,0.74,0,0,2,100,0,0,"2021_02C","16_do_22_lutego_2021"
"Łódzkie",2,0.1,0,0,2,100,0,0,"2021_02C","16_do_22_lutego_2021"
"Małopolskie",4,0.12,0,0,3,75,1,25,"2021_02C","16_do_22_lutego_2021"
"Mazowieckie",7,0.06,0,0,7,100,0,0,"2021_02C","16_do_22_lutego_2021"
"Opolskie",1,0.18,0,0,1,100,0,0,"2021_02C","16_do_22_lutego_2021"
"Podkarpackie",1,0.27,1,100,0,0,0,0,"2021_02C","16_do_22_lutego_2021"
"Podlaskie",0,0,0,0,0,0,0,0,"2021_02C","16_do_22_lutego_2021"
"Pomorskie",6,0.06,0,0,5,83.3,1,16.7,"2021_02C","16_do_22_lutego_2021"
"Śląskie",4,0.08,1,25,3,75,1,25,"2021_02C","16_do_22_lutego_2021"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2021_02C","16_do_22_lutego_2021"
"Warmińsko-Mazurskie",15,1.83,0,0,15,100,0,0,"2021_02C","16_do_22_lutego_2021"
"Wielkopolskie",15,0.18,0,0,13,86.7,2,13.3,"2021_02C","16_do_22_lutego_2021"
"Zachodniopomorskie",1,0.17,0,0,1,100,0,0,"2021_02C","16_do_22_lutego_2021"
"Dolnośląskie",2,0.09,0,0,2,100,0,0,"2021_02D","23_do_28_lutego_2021"
"Kujawsko-Pomorskie",1,0.04,0,0,1,100,0,0,"2021_02D","23_do_28_lutego_2021"
"Lubelskie",2,0.12,0,0,2,100,0,0,"2021_02D","23_do_28_lutego_2021"
"Lubuskie",0,0,0,0,0,0,0,0,"2021_02D","23_do_28_lutego_2021"
"Łódzkie",6,0.32,0,0,6,100,0,0,"2021_02D","23_do_28_lutego_2021"
"Małopolskie",5,0.16,0,0,3,60,2,40,"2021_02D","23_do_28_lutego_2021"
"Mazowieckie",11,0.13,1,9.1,9,81.8,1,9.1,"2021_02D","23_do_28_lutego_2021"
"Opolskie",0,0,0,0,0,0,0,0,"2021_02D","23_do_28_lutego_2021"
"Podkarpackie",1,0.22,0,0,1,100,0,0,"2021_02D","23_do_28_lutego_2021"
"Podlaskie",4,0.5,0,0,4,100,0,0,"2021_02D","23_do_28_lutego_2021"
"Pomorskie",9,0.13,0,0,9,100,0,0,"2021_02D","23_do_28_lutego_2021"
"Śląskie",2,0.05,0,0,1,50,1,50,"2021_02D","23_do_28_lutego_2021"
"Świętokrzyskie",8,1.36,0,0,0,0,8,100,"2021_02D","23_do_28_lutego_2021"
"Warmińsko-Mazurskie",29,4.65,0,0,29,100,0,0,"2021_02D","23_do_28_lutego_2021"
"Wielkopolskie",8,0.14,0,0,8,100,0,0,"2021_02D","23_do_28_lutego_2021"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2021_02D","23_do_28_lutego_2021"
