"woj","o_l","o_z","o_z_wsk","l_0_4","z_0_4","l_5_14","z_5_14","l_15_64","z_15_64","l_65","z_65","dni","miesiac","rok","tydz","numer"
"Lubuskie",1559,19.24,-4.91,431,111.73,398,46.61,608,11.12,122,8.73,"8-15","luty",2020,6,"2B"
"Łódzkie",11852,60.22,-4.51,2420,268.23,4136,215.54,4232,32.65,1064,27.28,"8-15","luty",2020,6,"2B"
"Małopolskie",19491,71.56,-15.03,4318,292.86,4026,138.63,9223,50.44,1924,42.05,"8-15","luty",2020,6,"2B"
"Mazowieckie",36582,84.5,-28.57,7422,310.6,10552,224.72,15609,54.84,2999,38.72,"8-15","luty",2020,6,"2B"
"Opolskie",2396,30.43,3.21,557,161.75,618,86.89,992,18.51,229,15.7,"8-15","luty",2020,6,"2B"
"Podkarpackie",4486,26.36,-0.19,824,99.15,1448,82.77,1840,15.86,374,13.19,"8-15","luty",2020,6,"2B"
"Podlaskie",3548,37.6,2.03,808,177.06,886,96.11,1362,21.27,492,29.75,"8-15","luty",2020,6,"2B"
"Pomorskie",29506,157.77,14.76,6985,668.39,9419,450.9,11105,89.16,1997,64.16,"8-15","luty",2020,6,"2B"
"Śląskie",20004,55.27,10.93,4543,267.47,6398,180.29,7671,31.82,1392,20.37,"8-15","luty",2020,6,"2B"
"Świętokrzyskie",4761,48.1,4.95,1160,274.49,1051,111.93,2020,30.51,530,27.65,"8-15","luty",2020,6,"2B"
"Warmińsko-Mazurskie",4301,37.7,9.8,905,166.99,1197,99.23,1781,22.81,418,22.56,"8-15","luty",2020,6,"2B"
"Wielkopolskie",25219,90.18,-17.76,5518,361.72,4962,160.9,11883,63.45,2856,61.75,"8-15","luty",2020,6,"2B"
"Zachodniopomorskie",4215,31.02,-1.95,796,128.92,1268,93.65,1675,18.29,476,19.38,"8-15","luty",2020,6,"2B"
"Dolnośląskie",9558,47.08,-4.27,2039,211.79,1862,93.71,4361,32.18,1296,34.14,"16-22","luty",2020,7,"2C"
"Kujawsko-Pomorskie",10057,69.26,15.09,2107,305.25,3074,203.86,4032,41.17,844,33.37,"16-22","luty",2020,7,"2C"
"Lubelskie",14103,95.38,28.1,2455,356.82,4553,306.2,5731,57.85,1364,50.44,"16-22","luty",2020,7,"2C"
"Lubuskie",1864,26.29,7.05,455,134.8,554,74.14,750,15.68,105,8.59,"16-22","luty",2020,7,"2C"
"Łódzkie",15783,91.65,31.43,2741,347.21,5497,327.39,6059,53.43,1486,43.55,"16-22","luty",2020,7,"2C"
"Małopolskie",16870,70.78,-0.77,3666,284.16,4115,161.94,7446,46.54,1643,41.03,"16-22","luty",2020,7,"2C"
"Mazowieckie",35870,94.69,10.19,7989,382.09,8389,204.18,16030,64.37,3462,51.09,"16-22","luty",2020,7,"2C"
"Opolskie",2219,32.2,1.78,505,167.59,362,58.17,1093,23.3,259,20.29,"16-22","luty",2020,7,"2C"
"Podkarpackie",6562,44.06,17.71,1068,146.87,2269,148.22,2675,26.35,550,22.17,"16-22","luty",2020,7,"2C"
"Podlaskie",5226,63.3,25.7,1145,286.75,1703,211.13,1823,32.54,555,38.36,"16-22","luty",2020,7,"2C"
"Pomorskie",33562,205.09,47.32,7319,800.4,11045,604.27,12972,119.03,2226,81.73,"16-22","luty",2020,7,"2C"
"Śląskie",23409,73.92,18.65,4770,320.95,7732,249,9248,43.84,1659,27.74,"16-22","luty",2020,7,"2C"
"Świętokrzyskie",3559,41.09,-7.01,773,209.04,792,96.39,1581,27.29,413,24.62,"16-22","luty",2020,7,"2C"
"Warmińsko-Mazurskie",5689,56.99,19.29,974,205.4,2118,200.66,2129,31.17,468,28.87,"16-22","luty",2020,7,"2C"
"Wielkopolskie",24812,101.4,11.22,5665,424.4,5787,214.46,10881,66.4,2479,61.26,"16-22","luty",2020,7,"2C"
"Zachodniopomorskie",2840,23.89,-7.13,648,119.95,691,58.32,1178,14.7,323,15.03,"16-22","luty",2020,7,"2C"
"Dolnośląskie",10450,51.48,4.39,2266,235.37,1758,88.47,4917,36.28,1509,39.75,"23-29","luty",2020,8,"2D"
"Kujawsko-Pomorskie",12674,87.28,18.02,2458,356.1,4266,282.91,4978,50.82,972,38.43,"23-29","luty",2020,8,"2D"
"Lubelskie",13158,88.99,-6.39,2145,311.76,4043,271.9,5559,56.12,1411,52.18,"23-29","luty",2020,8,"2D"
"Lubuskie",2326,32.8,6.52,525,155.54,732,97.97,901,18.84,168,13.74,"23-29","luty",2020,8,"2D"
"Łódzkie",16446,95.5,3.85,2844,360.26,4908,292.31,6870,60.58,1824,53.45,"23-29","luty",2020,8,"2D"
"Małopolskie",18393,77.17,6.39,4205,325.94,5368,211.24,7340,45.88,1480,36.96,"23-29","luty",2020,8,"2D"
"Mazowieckie",28473,75.17,-19.53,5516,263.81,5627,136.96,14377,57.73,2953,43.57,"23-29","luty",2020,8,"2D"
"Opolskie",1503,21.81,-10.39,247,81.97,239,38.4,787,16.78,230,18.02,"23-29","luty",2020,8,"2D"
"Podkarpackie",6675,44.82,0.76,1050,144.39,2220,145.02,2895,28.51,510,20.56,"23-29","luty",2020,8,"2D"
"Podlaskie",7883,95.48,32.18,1514,379.16,2453,304.1,3069,54.77,847,58.54,"23-29","luty",2020,8,"2D"
"Pomorskie",33257,203.23,-1.86,7201,787.5,10013,547.81,13567,124.49,2476,90.91,"23-29","luty",2020,8,"2D"
"Śląskie",21527,67.98,-5.94,4099,275.8,7128,229.55,8658,41.04,1642,27.46,"23-29","luty",2020,8,"2D"
"Świętokrzyskie",3954,45.65,4.56,868,234.73,1147,139.6,1563,26.98,376,22.41,"23-29","luty",2020,8,"2D"
"Warmińsko-Mazurskie",7860,78.74,21.75,1265,266.76,2470,234.01,3303,48.35,822,50.71,"23-29","luty",2020,8,"2D"
"Wielkopolskie",28546,116.67,15.26,6269,469.65,7458,276.39,12133,74.03,2686,66.37,"23-29","luty",2020,8,"2D"
"Zachodniopomorskie",2869,24.13,0.24,543,100.51,512,43.22,1444,18.02,370,17.22,"23-29","luty",2020,8,"2D"
"Dolnośląskie",10250,50.49,-0.99,2140,222.28,2272,114.34,4688,34.59,1150,30.29,"1-7","marzec",2020,9,"3A"
"Kujawsko-Pomorskie",12540,86.35,-0.92,2243,324.96,4005,265.61,5368,54.81,924,36.53,"1-7","marzec",2020,9,"3A"
"Lubelskie",11137,75.32,-13.67,1731,251.59,3016,202.83,5111,51.59,1279,47.3,"1-7","marzec",2020,9,"3A"
"Lubuskie",2982,42.05,6.18,663,196.43,993,132.9,1199,25.07,127,10.38,"1-7","marzec",2020,9,"3A"
"Łódzkie",15891,92.28,-3.22,2197,278.3,5867,349.42,6197,54.65,1630,47.77,"1-7","marzec",2020,9,"3A"
"Małopolskie",17450,73.21,-3.96,3739,289.82,4902,192.91,7315,45.72,1494,37.31,"1-7","marzec",2020,9,"3A"
"Mazowieckie",24451,64.55,-10.62,4843,231.63,5200,126.56,11933,47.92,2475,36.52,"1-7","marzec",2020,9,"3A"
"Opolskie",2076,30.13,8.32,430,142.7,438,70.38,951,20.28,257,20.13,"1-7","marzec",2020,9,"3A"
"Podkarpackie",7871,52.85,8.03,1204,165.57,2357,153.97,3601,35.47,709,28.58,"1-7","marzec",2020,9,"3A"
"Podlaskie",6348,76.89,-18.59,1149,287.75,1833,227.24,2669,47.63,697,48.17,"1-7","marzec",2020,9,"3A"
"Pomorskie",32535,198.82,-4.41,6768,740.14,8992,491.95,14200,130.29,2575,94.54,"1-7","marzec",2020,9,"3A"
"Śląskie",24128,76.19,8.21,4711,316.98,6885,221.73,10592,50.21,1940,32.44,"1-7","marzec",2020,9,"3A"
